Userid	Notification id	Type	Category	Title	Action	Lat	Lng	Timestamp
"T7HOCjyj"	"0"	"data"	"commercial"	"bar1"	"trigger"	"61.50322399318863"	"23.74401965203795"	"2017-09-14 17:35:00.000"
"0gGJ4U1b"	"0"	"advert"	"event"	"bar1"	"trigger"	"61.49462993228437"	"23.74710896560284"	"2017-09-14 20:13:00.000"
"y3RGtTmq"	"0"	"data"	"non-commercial"	"bar1"	"close"	"61.4915312553507"	"23.769424890461675"	"2017-09-14 17:11:00.000"
"aqH4v5WM"	"0"	"data"	"non-commercial"	"bar1"	"trigger"	"61.50123282180015"	"23.736800216745003"	"2017-09-14 19:19:00.000"
"gGTJ5wQP"	"0"	"data"	"announcement"	"bar1"	"show"	"61.49397834452912"	"23.764456211234812"	"2017-09-14 20:53:00.000"
"tJHJW5Za"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.497856608340655"	"23.754647692461152"	"2017-09-14 21:31:00.000"
"XXXbDMSN"	"0"	"data"	"non-commercial"	"bar1"	"history"	"61.5002829583965"	"23.769117327667686"	"2017-09-14 19:24:00.000"
"QkPAGqRW"	"0"	"advert"	"announcement"	"bar1"	"read"	"61.495464376497814"	"23.765403015636085"	"2017-09-14 16:30:00.000"
"Q0vnk0UM"	"0"	"advert"	"event"	"bar1"	"history"	"61.49941748128812"	"23.741393721973395"	"2017-09-14 19:34:00.000"
"LerxY3Jd"	"0"	"survey"	"event"	"bar1"	"history"	"61.49322820972145"	"23.758876074053152"	"2017-09-14 19:19:00.000"
"isWNg2k7"	"0"	"advert"	"commercial"	"bar1"	"trigger"	"61.490439183843804"	"23.756941860003614"	"2017-09-14 16:46:00.000"
"4TOjI8b6"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.49483348264266"	"23.764160643069474"	"2017-09-14 18:14:00.000"
"gwabJUy0"	"0"	"data"	"commercial"	"bar1"	"answer"	"61.50203532146687"	"23.742257286683788"	"2017-09-14 20:11:00.000"
"r7rDqtmY"	"0"	"survey"	"event"	"bar1"	"history"	"61.493962581216245"	"23.736739794269237"	"2017-09-14 20:41:00.000"
"wzzU9Bi3"	"0"	"data"	"commercial"	"bar1"	"swipe_away"	"61.491211920477014"	"23.76315371964201"	"2017-09-14 16:05:00.000"
"dvaP6kHG"	"0"	"data"	"announcement"	"bar1"	"read"	"61.494591944014005"	"23.751796340833717"	"2017-09-14 20:29:00.000"
"UdUytgx6"	"0"	"advert"	"non-commercial"	"bar1"	"trigger"	"61.50148042312416"	"23.771496289061343"	"2017-09-14 20:34:00.000"
